iter	Passed	Remaining
1475	64298	66389
1476	64343	66347
1477	64386	66303
1478	64433	66263
1479	64478	66221
1480	64519	66175
1481	64559	66127
1482	64604	66085
1483	64644	66038
1484	64690	65997
1485	64735	65955
1486	64773	65906
1487	64811	65856
1488	64854	65812
1489	64893	65764
1490	64940	65724
1491	64983	65679
1492	65030	65640
1493	65076	65598
1494	65116	65551
1495	65155	65503
1496	65195	65456
1497	65240	65414
1498	65283	65370
1499	65324	65324
1500	65363	65276
1501	65400	65225
1502	65444	65182
1503	65490	65142
1504	65536	65101
1505	65577	65054
1506	65617	65007
1507	65660	64963
1508	65703	64919
1509	65743	64872
1510	65787	64829
1511	65835	64790
1512	65881	64749
1513	65920	64701
1514	65967	64661
1515	66013	64619
1516	66057	64577
1517	66098	64530
1518	66139	64485
1519	66183	64442
1520	66230	64402
1521	66276	64360
1522	66316	64313
1523	66354	64264
1524	66396	64219
1525	66439	64175
1526	66488	64137
1527	66530	64092
1528	66568	64043
1529	66609	63997
1530	66651	63952
1531	66690	63904
1532	66737	63864
1533	66774	63814
1534	66818	63771
1535	66860	63726
1536	66897	63676
1537	66938	63630
1538	66983	63589
1539	67029	63547
1540	67071	63502
1541	67113	63457
1542	67151	63408
1543	67191	63361
1544	67231	63315
1545	67273	63270
1546	67315	63224
1547	67357	63180
1548	67398	63134
1549	67436	63085
1550	67476	63039
1551	67525	63000
1552	67569	62957
1553	67611	62912
1554	67652	62866
1555	67702	62829
1556	67745	62785
1557	67787	62740
1558	67835	62701
1559	67880	62658
1560	67924	62615
1561	67962	62566
1562	68000	62518
1563	68041	62472
1564	68087	62431
1565	68131	62388
1566	68169	62340
1567	68212	62296
1568	68252	62249
1569	68295	62205
1570	68333	62157
1571	68373	62109
1572	68414	62064
1573	68456	62019
1574	68496	61972
1575	68533	61923
1576	68572	61875
1577	68620	61836
1578	68659	61789
1579	68706	61749
1580	68746	61702
1581	68795	61663
1582	68836	61617
1583	68882	61577
1584	68929	61536
1585	68971	61491
1586	69008	61441
1587	69047	61394
1588	69086	61347
1589	69126	61301
1590	69168	61256
1591	69207	61208
1592	69245	61160
1593	69285	61113
1594	69322	61064
1595	69361	61017
1596	69407	60975
1597	69456	60937
1598	69507	60900
1599	69557	60863
1600	69597	60816
1601	69641	60773
1602	69678	60723
1603	69719	60678
1604	69763	60635
1605	69804	60589
1606	69851	60549
1607	69890	60502
1608	69929	60454
1609	69975	60413
1610	70013	60365
1611	70060	60325
1612	70103	60281
1613	70145	60236
1614	70187	60191
1615	70225	60143
1616	70270	60101
1617	70319	60062
1618	70378	60032
1619	70418	59985
1620	70467	59947
1621	70507	59901
1622	70547	59854
1623	70585	59806
1624	70629	59763
1625	70674	59721
1626	70712	59673
1627	70758	59631
1628	70799	59586
1629	70842	59542
1630	70885	59498
1631	70926	59452
1632	70966	59406
1633	71010	59363
1634	71050	59317
1635	71088	59269
1636	71131	59225
1637	71180	59186
1638	71219	59139
1639	71263	59096
1640	71302	59049
1641	71350	59009
1642	71392	58965
1643	71433	58919
1644	71473	58873
1645	71515	58828
1646	71552	58780
1647	71594	58735
1648	71642	58695
1649	71686	58652
1650	71728	58608
1651	71769	58562
1652	71820	58524
1653	71857	58476
1654	71899	58431
1655	71939	58385
1656	71981	58341
1657	72019	58293
1658	72066	58252
